Molno	Molname		isono	isocode	isoname					LineList
37	HOBr		2	161	H$^{16}$O$^{81}$Br			HITRAN04
38	C2H4		1	221	$^{12}$C$_{2}$H$_{4}$			HITRAN08,HITRAN04
38	C2H4		2	231	$^{12}$C$^{13}$CH$_{4}$			HITRAN04
39	CH3OH		1	2161	$^{12}$CH$_{3}^{16}$OH			HITRAN04
96 	CN		1	24	$^{12}$C$^{14}$N			Plez
97	SiS		1	82	$^{28}$Si$^{32}$S			Bauschlicher
98	SiO		1	86	$^{28}$Si$^{16}$O			Langhoff
98	SiO		2	96	$^{29}$Si$^{16}$O			Langhoff
98	SiO		3	06	$^{30}$Si$^{16}$O			Langhoff
99	TiO		1	86	$^{48}$Ti$^{16}$O			Schwenke
